-------- 1 - Atualizações
NATUREZA,EFETIVO-BM / EGSYS,DATA-ATUALIZAÇÃO,DATA-ATUALIZAÇÃO-EGSYS,OBSERVAÇÃO
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
-------- 10 - C2 - ALERGIA-REAÇÃO MEDICAMENT
C2 - ALERGIA-REAÇÃO MEDICAMENT,,,,,,,,,,,,,,,,,,,,,,,,,
Nº,PERGUNTA CHAVE,ALTERNATIVA,PROX. PASSO,CLASS CHAMAD,ENC. DESP,PRIORIDADE,AG. ENVOL INTERNO,ARV. COMPL.,COMP. NAT,REDIRECIONAMENTO,TIPO DE RESPOSTA,AG. ENV EXTERNO,,,,,,,,,,,,,
1,A pessoa está alerta? Conversa?,Sim,4,,,,,,,,,,,,,,,,,,,,,,
,,Não,FIM,Ocorrência,S,Alta,"SBV, SAV; MÉDICO",,,RCP,,,,,,,,,,,,,,,
,,Não sabe,2,,,,,,,,,,,,,,,,,,,,,,
2,Aproxime-se da pessoa e veja se ela reage a um estímulo,Reage a  estímulo (abre os olhos),3,,,,,,,,,,,,,,,,,,,,,,
,,Não reage a estímulo,3,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,,,,,,,,,,,,,,,,
,,Não sabe,3,,,,,,,,,,,,,,,,,,,,,,
3,A pessoa respira normalmente?,Sim,4,,,,,,,,,,,,,,,,,,,,,,
,,Não respira normalmente,4,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,"OPS 2, OPS 7",,,,,,,,,,,,,,,
,,Não está respirando,FIM,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,RCP,,,,,,,,,,,,,,,
4,Está com dificuldade de engolir?,Sim ,5,Ocorrência,S,Média/Mantém ,SBV,,,,,,,,,,,,,,,,,,
,,Não,5,,,,,,,,,,,,,,,,,,,,,,
5,O que ocasionou a reação alérgica?,Medicamentos,6,,,,,,,,,,,,,,,,,,,,,,
,,Plantas,6,,,,,,,,,,,,,,,,,,,,,,
,,Produtos Perigosos,6,,,,,,,OPS 4,,,,,,,,,,,,,,,
,,Não sabe,6,,,,,,,,,,,,,,,,,,,,,,
6,A pessoa tem histórico de alergia?,Sim,7,Ocorrência,S,Média/Mantém ,AA,,,,,,,,,,,,,,,,,,
,,Não,7,,,,,,,,,,,,,,,,,,,,,,
,,Não sabe,7,,,,,,,,,,,,,,,,,,,,,,
7,"A vítima está sentindo urticária, coceira, irritação?",Sim ,FIM,Orientação,N,,,,,OPS 6,,,,,,,,,,,,,,,
,,Não,8,,,,,,,,,,,,,,,,,,,,,,
8,A vítima está em local de difícil acesso? Trancada em algum ambiente?,Sim,FIM,Ocorrência,S,Média/Mantém ,SBV; ABTR,,,OPS 7,,,,,,,,,,,,,,,
,,Não,FIM,,,,,,,OPS 7,,,,,,,,,,,,,,,
Nº,ORIENTAÇÃO PRÉ-SOCORRO,ALTERNATIVA,PROX. PASSO,CLASS CHAMAD,ENC. DESP,PRIORIDADE,AG. ENVOL,ARV. COMPL.,COMP. NAT,ORIENTAÇÕES,,,,,,,,,,,,,,,
1,(Vítima não alerta) VÁ PARA O CARTÃO DE RCP,Orientado,RCP,,,,,,,,checked,,,,,,,,,,,,,,
2,(Respiração Anormal) Mantenha a pessoa calma e sentada ou deitada. Remova travesseiros.,Orientado,OPS 3,,,,,,,,checked,,,,,,,,,,,,,,
3, Não deixe a pessoa se movimentar e não dê nada para beber ou comer.,Orientado,OPS 4,,,,,,,,checked,,,,,,,,,,,,,,
4,(Produto Perigoso) Lave a região atingida.,Orientado,OPS 5,,,,,,,,checked,,,,,,,,,,,,,,
6,"Reações cutâneas como urticária e correceira sem outros comprometimentos (respiração, deglutição e consciência) são situações leves e o paciente pode ser orientado para ir até um posto de saúde.",Orientado,FIM,,,,,,,,,,,,,,,,,,,,,,
7,"Seu chamado foi cadastrado. Qualquer alteração da(s) vítima(s) ou no local, retorne a ligação ao 193.",Orientado,FIM,,,,,,,,checked,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
-------- 11 - C3 - CONVULSÕES – EPILEPSIA
C3 - CONVULSÕES – EPILEPSIA,,,,,,,,,,,,,,,,,,,,,,,,,
Nº,PERGUNTA CHAVE,ALTERNATIVA,PROX. PASSO,CLASS CHAMAD,ENC. DESP,PRIORIDADE,AG. ENVOL INTERNO,ARV. COMPL.,COMP. NAT,REDIRECIONAMENTO,TIPO DE RESPOSTA,AG. ENV EXTERNO,,,,,,,,,,,,,
1,A pessoa está alerta? Conversa?,Sim,3,,,,,,,,,,,,,,,,,,,,,,
,,Não,2,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,,,,,,,,,,,,,,,,
,,Não sabe,2,,,,,,,,,,,,,,,,,,,,,,
2,Aproxime-se da pessoa e veja se ela reage a um estímulo,Reage a  estímulo (abre os olhos),3,,,,,,,,,,,,,,,,,,,,,,
,,Não reage a estímulo,3,,,,,,,,,,,,,,,,,,,,,,
,,Não sabe,3,,,,,,,,,,,,,,,,,,,,,,
3,A pessoa respira normalmente?,Sim,5,Ocorrência,S,Baixa,SBV,,,,,,,,,,,,,,,,,,
,,Não,4,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,,,,,,,,,,,,,,,,
,,Não está respirando,FIM,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,RCP,,,,,,,,,,,,,,,
4,Observe e descreva a respiração ,Ausência de movimentos no tórax,FIM,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,RCP,,,,,,,,,,,,,,,
,,Respiração Agônica (gasping),FIM,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,RCP,,,,,,,,,,,,,,,
,,Pausa respiratória (apneia),5,Ocorrência,S,Média,SBV,,,,,,,,,,,,,,,,,,
,,Cianose generalizada (roxa),5,Ocorrência,S,Média,SBV,,,,,,,,,,,,,,,,,,
,,Respiração ruidosa,5,,,,,,,,,,,,,,,,,,,,,,
,,Falta de ar,5,,,,,,,,,,,,,,,,,,,,,,
,,Respiração pouco ruidosa,5,,,,,,,,,,,,,,,,,,,,,,
5,Ainda está convulsionando? Descreva,Sim,FIM 6,,,,,,,OPS 3,,,,,,,,,,,,,,,
,,Não,7,Orientação,,,,,,,,,,,,,,,,,,,,,
6,Quanto tempo de convulsão?,menos de 3 minutos,FIM,Ocorrência,S,Baixa,SBV,,,"OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,de 3 á 5 minutos,FIM,Ocorrência,S,Média,SBV,,,"OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,Mais de 5 minutos,FIM,Ocorrência,S,Alta,SBV; SAV; MÉDICO,,,"OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
7,Algum ferimento precede as convulsões?,Sim,FIM,Ocorrência,S,Média ou mantém,SBV,,,"OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,Não,8,,,,,,,,,,,,,,,,,,,,,,
,,Não sabe,8,,,,,,,,,,,,,,,,,,,,,,
8,"A pessoa tem algum histórico cardíaco, drogas ou diabetes, etc?",Cardíaco,FIM,Ocorrência,S,Média,SBV,,,"OPS 4, OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,Drogas,FIM,Ocorrência,S,Média,SBV,,,"OPS 4, OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,Diabetes,FIM,Ocorrência,S,Média,SBV,,,"OPS 4, OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,Não,9,,,,,,,,,,,,,,,,,,,,,,
,,Não sabe,9,,,,,,,,,,,,,,,,,,,,,,
9,Qual o sexo do paciente?,Masculino,10,,,,,,,,,,,,,,,,,,,,,,
,,Feminino,10,,,,,,,,,,,,,,,,,,,,,,
10,Qual a idade aproximada do paciente? ,Numérico,11,Ocorrência,S,Média,SBV,,,"OPS 4, OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,Se Feminino >12 anos,FIM,Ocorrência,S,Média,SBV,,,"OPS 4, OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,Se < 5 anos,FIM,Ocorrência,S,Média,SBV,,,OPS 13,,,,,,,,,,,,,,,
11,Apresenta febre?,Sim,FIM,Ocorrência,S,Média,SBV,,,"OPS 4, OPS 3, OPS 4, OPS 5, OPS 6, OPS 7, OPS 8, OPS 9, OPS 10, OPS 11, OPS 12, OPS 13, OPS 14, OPS 15, OPS 16",,,,,,,,,,,,,,,
,,Não,12,,,,,,,,,,,,,,,,,,,,,,
12,O paciente está em local protegido e recuperou a consciência?,Sim,FIM,Orientação,,Orientação,SBV,,,OPS 17,,,,,,,,,,,,,,,
,,Não,FIM,Ocorrência,S,Média,SBV,,,OPS 16,,,,,,,,,,,,,,,
Nº,ORIENTAÇÃO PRÉ-SOCORRO,ALTERNATIVA,PROX. PASSO,CLASS CHAMAD,ENC. DESP,PRIORIDADE,AG. ENVOL,ARV. COMPL.,COMP. NAT,ORIENTAÇÕES,,,,,,,,,,,,,,,
1,(Vítima não alerta) VÁ PARA O CARTÃO DE RCP,Orientado,RCP,,,,,,,,checked,,,,,,,,,,,,,,
2,(Respiração Anormal) Mantenha a pessoa calma e sentada ou deitada. Remova travesseiros.,Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
3,Irei aguardar no telefone contigo para ver se as convulsões param em até 01 (um) minuto).,Orientado,,,,,,,,,,,,,,,,,,,,,,,
4,Manter-se calmo e procurar acalmar os demais,Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
5,"Colocar algo macio sob a cabeça da vítima, protegendo-a",Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
6,Retirar objetos perigosos em torno,Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
7,"Afrouxar gravata ou colarinho de camisa, deixando o pescoço livre de qualquer coisa que o incomode",Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
8,"Girar-lhe a cabeça para o lado, para que a saliva não dificulte a respiração - desde que não haja suspeita de trauma raquimedular",Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
9,"Não restrinja a vítima, não force objetos na boca, nem tente abrir a mandíbula",Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
10,"Não tentar fazê-lo voltar a si, lançando-lhe água ou obrigando-o a tomá-lo",Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
11,Não o agarre na tentativa de mantê-lo quieto. Não se oponha aos movimentos; apenas o proteja de traumatismos.,Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
12,Deitar a vítima de lado após as convulsões terminarem. Não deixe a vítima perambular após.,Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
13,"Se for criança com febre, retire a roupa para resfriá-la.",Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
14,"Se a pessoa for diabética, estiver grávida, machucar-se ou estiver doente durante o ataque, transportá-la ao hospital ou aguardar a chegada do socorro.",Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
15,Verificar e garantir o ABC da vítima.,Orientado,,,,,,,,,checked,,,,,,,,,,,,,,
16,"Seu chamado foi cadastrado. Qualquer alteração da(s) vítima(s) ou no local, retorne a ligação ao 193.",Orientado,FIM,,,,,,,,checked,,,,,,,,,,,,,,
17,Orientar o paciente a buscar suporte médico em um PS e/ou médico designado.,Orientado,FIM,,,,,,,,checked,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
